rating,books,movies,updated,created,text
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'A PASSAGE TO INDIA', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'BEAUTY AND THE BEAST'}, {'id': 0, 'title': 'end'}]",2021-12-17T11:49:40.461+0100,2021-12-02T06:11:35.525+0100,Solitudo magnam vulpes. Aequitas vitium deputo.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'THE MAN WITHIN', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'STAR WARS: EPISODE VII - THE FORCE AWAKENS'}]",2021-12-01T13:58:10.255+0100,2021-12-19T12:10:58.433+0100,Adhuc ad velum. Cibus tum desino.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'VANITY FAIR', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'THE BIG LEBOWSKI'}]",2021-12-27T19:41:35.611+0100,2021-12-24T18:38:06.107+0100,Tersus velit assentator. Tantillus summa molestiae.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'THE MOVING TOYSHOP', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'MARY AND MAX'}]",2021-12-16T05:43:45.345+0100,2021-12-26T12:31:27.736+0100,Pecco quis magni. Campana fuga tersus.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'ENDLESS NIGHT', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'L.A. CONFIDENTIAL'}]",2021-12-07T01:41:44.652+0100,2021-12-30T06:12:49.625+0100,Tyrannus audio auris. Vinco carcer congregatio.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': ""THE MONKEY'S RAINCOAT"", 'pages': 'unknown'}}]","[{'id': 0, 'title': 'INCEPTION'}, {'id': 0, 'title': 'end'}]",2021-12-29T07:04:24.209+0100,2021-12-27T06:28:13.834+0100,Tergo depulso soluta. Cumque auctus vere.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'EYELESS IN GAZA', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'LOCK, STOCK AND TWO SMOKING BARRELS'}]",2021-12-25T05:12:27.063+0100,2021-12-26T05:15:09.764+0100,Contra congregatio tener. Censura abbas coruscus.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'GONE WITH THE WIND', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'GLADIATOR'}]",2021-12-12T06:03:25.294+0100,2021-12-14T15:10:52.975+0100,Distinctio vacuus incidunt. Id nam sortitus.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'THE TORMENT OF OTHERS', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'MR. SMITH GOES TO WASHINGTON'}]",2021-12-05T12:33:13.405+0100,2021-12-29T07:24:34.440+0100,Pecus venia aperio. Comburo suasoria tantillus.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'IF I FORGET THEE JERUSALEM', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'DOUBLE INDEMNITY'}, {'id': 0, 'title': 'end'}]",2021-12-07T08:48:08.512+0100,2021-12-05T09:12:26.781+0100,Talio antiquus eum. Blandior culpo alias.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'BLITHE SPIRIT', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'HACKSAW RIDGE'}]",2021-12-10T12:14:45.716+0100,2021-12-17T22:16:16.167+0100,Vulpes confugo facilis. Cuppedia trans appello.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'A TIME TO KILL', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE GREAT DICTATOR'}, {'id': 0, 'title': 'end'}]",2021-12-06T06:40:59.674+0100,2021-12-04T09:33:09.439+0100,Vicinus stultus comparo. Consequuntur talis atrox.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': ""IT'S A BATTLEFIELD"", 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'INDIANA JONES AND THE LAST CRUSADE'}]",2021-12-28T17:53:06.576+0100,2021-12-02T07:24:35.472+0100,Tertius totidem thymbra. Strenuus tendo tot.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'ARMS AND THE MAN', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'ALL ABOUT EVE'}, {'id': 0, 'title': 'end'}]",2021-12-29T18:21:07.257+0100,2021-12-17T05:49:01.923+0100,Sollicito cultura utor. Culpa armo arbitro.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'SURPRISED BY JOY', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE THING'}, {'id': 0, 'title': 'end'}]",2021-12-08T03:42:22.805+0100,2021-12-30T00:24:35.865+0100,Ea caelum arguo. Tui tergeo vigilo.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'CARRION COMFORT', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE GENERAL'}, {'id': 0, 'title': 'end'}]",2021-12-24T08:00:22.642+0100,2021-12-25T15:22:11.920+0100,Sol derelinquo voluptatem. Colloco quia adiuvo.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'THE WAY THROUGH THE WOODS', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'LIFE OF BRIAN'}, {'id': 0, 'title': 'end'}]",2021-12-21T01:21:20.630+0100,2021-12-16T14:29:22.020+0100,Spectaculum vis vitae. Sortitus degusto substantia.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'EYELESS IN GAZA', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'THE BRIDGE ON THE RIVER KWAI'}]",2021-12-30T16:06:37.303+0100,2021-12-18T05:55:51.144+0100,Corrupti canto arceo. Vereor clibanus combibo.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'AS I LAY DYING', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE GENERAL'}, {'id': 0, 'title': 'end'}]",2021-12-02T06:04:36.379+0100,2021-12-16T01:18:22.181+0100,Ex attero ager. Color quo commodi.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'BURY MY HEART AT WOUNDED KNEE', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'A WEDNESDAY'}]",2021-12-28T14:10:09.950+0100,2021-12-27T12:10:26.510+0100,Admitto ustilo testimonium. Voveo causa adfero.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'EAST OF EDEN', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'METROPOLIS'}, {'id': 0, 'title': 'end'}]",2021-12-18T20:41:34.699+0100,2021-12-24T03:31:23.504+0100,Sopor patior caveo. Asper decipio corrupti.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'THE GOLDEN BOWL', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'SAVING PRIVATE RYAN'}]",2021-12-14T04:44:50.003+0100,2021-12-30T06:43:38.880+0100,Abbas combibo adstringo. Urbs acceptus in.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'THE LATHE OF HEAVEN', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'MONTY PYTHON AND THE HOLY GRAIL'}, {'id': 0, 'title': 'end'}]",2021-12-24T23:27:09.051+0100,2021-12-20T00:20:10.807+0100,Tener ancilla certe. Spes templum eos.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'LILIES OF THE FIELD', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'INSIDE OUT'}]",2021-12-15T02:26:30.656+0100,2021-12-08T01:32:13.568+0100,Admitto stabilis vicinus. Speciosus averto amo.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'WAITING FOR THE BARBARIANS', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE GOLD RUSH'}, {'id': 0, 'title': 'end'}]",2021-12-13T22:10:17.566+0100,2021-12-17T14:13:01.338+0100,Teneo studio utrimque. Testimonium architecto advenio.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'OH! TO BE IN ENGLAND', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'STAR WARS: EPISODE I – THE PHANTOM MENACE'}]",2021-12-12T11:08:32.857+0100,2021-12-29T09:09:16.395+0100,Angulus utpote autem. Angulus turba asper.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'THINGS FALL APART', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'PERSONA'}]",2021-12-27T17:30:29.560+0100,2021-12-05T17:23:21.665+0100,Apparatus peior decipio. Valens adhuc thymbra.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'THE MOVING FINGER', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE DEER HUNTER'}, {'id': 0, 'title': 'end'}]",2021-12-26T15:40:16.376+0100,2021-12-03T05:37:00.216+0100,Amita tenax vir. Aeneus theca viriliter.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'CLOUDS OF WITNESS', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'NO COUNTRY FOR OLD MEN'}]",2021-12-16T03:03:10.403+0100,2021-12-08T21:02:23.918+0100,Veniam decet odit. At nesciunt tricesimus.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'O JERUSALEM!', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'ONCE UPON A TIME IN AMERICA'}]",2021-12-13T19:09:49.650+0100,2021-12-12T13:25:26.328+0100,Peior certo adficio. Versus conforto possimus.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'THINGS FALL APART', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'PLATOON'}, {'id': 0, 'title': 'end'}]",2021-12-15T23:32:51.884+0100,2021-12-23T01:39:38.241+0100,Venustas demens rerum. Denuncio benigne acer.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'BLITHE SPIRIT', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': '12 YEARS A SLAVE'}]",2021-12-11T22:10:06.840+0100,2021-12-29T17:02:26.988+0100,Aro facilis acquiro. Velociter calco territo.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'A TIME TO KILL', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'VERTIGO'}]",2021-12-15T00:02:04.549+0100,2021-12-30T15:15:19.988+0100,Vitae acsi commodo. Libero arceo consuasor.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'THE YELLOW MEADS OF ASPHODEL', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'HOW TO TRAIN YOUR DRAGON'}]",2021-12-12T14:39:05.894+0100,2021-12-12T00:29:12.865+0100,Administratio dolore molestiae. Condico audeo non.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'MR STANDFAST', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'GOOD WILL HUNTING'}]",2021-12-16T12:34:16.609+0100,2021-12-06T20:53:46.305+0100,Cohibeo pel substantia. Turpis agnitio vomica.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'BEYOND THE MEXIQUE BAY', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'THE MATRIX'}]",2021-12-28T07:49:06.182+0100,2021-12-04T17:44:44.843+0100,Sui adduco aurum. Minus cupio adfero.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'BURY MY HEART AT WOUNDED KNEE', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'THE TERMINATOR'}]",2021-12-23T01:37:05.664+0100,2021-12-09T23:27:43.050+0100,Adopto spiculum defetiscor. Non aptus suffoco.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'THE WAY OF ALL FLESH', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'TOY STORY 3'}]",2021-12-16T07:26:00.004+0100,2021-12-17T09:28:20.605+0100,Debilito capto advenio. Sortitus velut pariatur.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'I SING THE BODY ELECTRIC', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE PRESTIGE'}, {'id': 0, 'title': 'end'}]",2021-12-18T15:38:33.269+0100,2021-12-17T11:20:51.751+0100,Dolor aetas aranea. Iure unus magni.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'WHERE ANGELS FEAR TO TREAD', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE BEST YEARS OF OUR LIVES'}, {'id': 0, 'title': 'end'}]",2021-12-04T10:51:46.020+0100,2021-12-01T02:19:52.224+0100,Amita cicuta aspicio. Animi tubineus tribuo.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'THE TORMENT OF OTHERS', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'APOCALYPSE NOW'}]",2021-12-20T04:54:29.062+0100,2021-12-16T00:47:20.907+0100,Numquam degero cursus. Veritas sulum aegrotatio.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'TENDER IS THE NIGHT', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE GREEN MILE'}, {'id': 0, 'title': 'end'}]",2021-12-15T20:44:02.637+0100,2021-12-30T01:14:38.818+0100,Adultus socius vado. Voluptas consequuntur caveo.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'FEAR AND TREMBLING', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'CATCH ME IF YOU CAN'}, {'id': 0, 'title': 'end'}]",2021-12-30T20:20:59.726+0100,2021-12-11T18:51:45.105+0100,Minus coaegresco totam. Culpa congregatio rem.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'THIS LIME TREE BOWER', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'THE KID'}, {'id': 0, 'title': 'end'}]",2021-12-15T12:44:37.182+0100,2021-12-09T16:04:36.440+0100,Tepidus ut cunctatio. Curtus cohors porro.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'EAST OF EDEN', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'THE BIG LEBOWSKI'}]",2021-12-26T00:22:20.057+0100,2021-12-27T11:46:23.530+0100,Praesentium canonicus crinis. Sonitus deficio non.
"{'rate': 4, 'label': 'FOUR'}","[{'id': None, 'metadata': {'title': 'OF HUMAN BONDAGE', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'THE WIZARD OF OZ'}]",2021-12-03T04:15:46.776+0100,2021-12-19T06:53:39.669+0100,Terror utilis quod. Argumentum articulus vito.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'INFINITE JEST', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'ALL ABOUT EVE'}]",2021-12-19T03:49:03.290+0100,2021-12-08T07:52:13.976+0100,Desolo dolores depromo. Venia vado maiores.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'THE WAY OF ALL FLESH', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'WITNESS FOR THE PROSECUTION'}, {'id': 0, 'title': 'end'}]",2021-12-09T19:30:11.680+0100,2021-12-11T01:44:27.266+0100,Combibo atrox adulescens. Bestia tandem pauci.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'SHALL NOT PERISH', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'DOG DAY AFTERNOON'}]",2021-12-23T03:18:33.106+0100,2021-12-12T11:56:22.157+0100,Absque mollitia ea. Admitto optio ut.
"{'rate': 5, 'label': 'FIVE'}","[{'id': None, 'metadata': {'title': 'AN ACCEPTABLE TIME', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'THE KID'}]",2021-12-30T00:26:18.618+0100,2021-12-19T10:03:51.057+0100,Ventito cognomen desolo. Virga audax curo.
"{'rate': 1, 'label': 'ONE'}","[{'id': None, 'metadata': {'title': 'FAME IS THE SPUR', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'JAWS'}, {'id': 0, 'title': 'end'}]",2021-12-26T13:14:20.702+0100,2021-12-30T06:24:19.876+0100,Coepi sit quod. Tametsi est vir.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'THE PAINTED VEIL', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'PULP FICTION'}]",2021-12-12T10:32:07.693+0100,2021-12-22T00:24:59.638+0100,Usus unus verto. Aggero acervus delicate.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'COVER HER FACE', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'PSYCHO'}]",2021-12-18T05:29:03.948+0100,2021-12-04T21:46:08.525+0100,Vox ceno utrum. Alienus deficio dolor.
"{'rate': 3, 'label': 'THREE'}","[{'id': None, 'metadata': {'title': 'IF I FORGET THEE JERUSALEM', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'A WEDNESDAY'}, {'id': 0, 'title': 'end'}]",2021-12-30T00:12:51.696+0100,2021-12-14T22:52:17.555+0100,Sui atrocitas crux. Acerbitas utroque ultra.
"{'rate': 2, 'label': 'TWO'}","[{'id': None, 'metadata': {'title': 'ARMS AND THE MAN', 'pages': 'unknown'}}]","[{'id': 0, 'title': 'end'}, {'id': 0, 'title': 'BRAVEHEART'}]",2021-12-16T13:52:22.692+0100,2021-12-21T03:28:17.680+0100,Corona comminor placeat. Curiositas creator arma.
